"aka"
"ana"
"ata"
"asa"
"kaka"
"kana"
"kata"
"kasa"
"naka"
"nana"
"nata"
"nasa"
"saka"
"sana"
"sata"
"sasa"
"iki"
"ini"
"iti"
"isi"
"kiki"
"kini"
"kiti"
"kisi"
"niki"
"nini"
"niti"
"nisi"
"siki"
"sini"
"siti"
"sisi"
"uku"
"unu"
"utu"
"usu"
"kuku"
"kunu"
"kutu"
"kusu"
"nuku"
"nunu"
"nutu"
"nusu"
"suku"
"sunu"
"sutu"
"susu"
